[2025-03-07 19:36:33.271947] [11044] [info] Event type: readdir, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271948] [11044] [info] Event type: chroot, amount: 12, rate: 0.0036372067855129212 per second
[2025-03-07 19:36:33.271949] [11044] [info] Event type: file_open_inline, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271950] [11044] [info] Event type: setns, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271956] [11044] [info] Event type: unauthorized_splice, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271957] [11044] [info] Event type: remote_brute_force_access, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271958] [11044] [info] Event type: tcp_accept, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271959] [11044] [info] Event type: python27_script_content, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271960] [11044] [info] Event type: elf_scan, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271962] [11044] [info] Event type: piped_execv, amount: 1, rate: inf per second
[2025-03-07 19:36:33.271963] [11044] [info] Event type: smb_connect, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271964] [11044] [info] Event type: bash_set_signal, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271965] [11044] [info] Event type: file_delete, amount: 30, rate: 0.008357369621635686 per second
[2025-03-07 19:36:33.271966] [11044] [info] Event type: umount, amount: 156, rate: 0.047283856421169834 per second
